Domain_ID,Domain_Name,Domain_Abbr,Domain_Desc,Questions,0-5,6-21,Is_A_Caregiver_Domain,Rate_0,Rate_1,Rate_2,Rate_3,Rate_No,Rate_Yes,Rated_As
1,BEHAVIORAL/EMOTIONAL NEEDS DOMAIN,BEN,"The ratings in this section identify the behavioral health needs of the youth. While the CANS is not a diagnostic tool, it is designed to be consistent with diagnostic communication. In the DSM, a diagnosis is defined by a set of symptoms that is associated with either dysfunction or distress. This is consistent with the ratings of '2' or '3' as described by the action levels below.","What are the presenting social, emotional, and behavioral needs of the child/youth? ",,1,,No current need; no need for action or intervention.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities.",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
2,LIFE FUNCTIONING DOMAIN,LFD,"Life domains are the different arenas of social interaction found in the lives of children, youths, and their families. This domain rates how they are functioning in the individual, family, peer, school, and community realms. This section is rated using the needs scale and therefore will highlight any struggles the individual and family are experiencing.","How is the child/youth functioning in individual, family, peer, school, and community realms? ",,1,,No current need; no need for action or intervention.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities.",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
3,RISK BEHAVIORS DOMAIN,RSK,This section focuses on behaviors that can get children and youth in trouble or put them in danger of harming themselves or others. Time frames in this section can change (particularly for ratings '1' and '3') away from the standard 30-day rating window. ,Does the child/youth's behaviors put them at risk for serious harm? ,,1,,No current need; no need for action or intervention.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities.",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
4,CULTURAL FACTORS DOMAIN,CUL,"These items identify linguistic or cultural issues for which service providers need to make accommodations (e.g., provide interpreter, finding therapist who speaks family's primary language, and/or ensure that a child/youth in placement has the opportunity to participate in cultural rituals associated with their cultural identity). Items in the Cultural Factors Domain describe difficulties that children and youth may experience or encounter as a result of their membership in any cultural group, and/or because of the relationship between members of that group and members of the dominant society. 
It is it important to remember when using the CANS that the family should be defined from the individual youth's perspective (i.e., who the individual describes as part of her/his family). The cultural issues in this domain should be considered in relation to the impact they are having on the life of the individual when rating these items and creating a treatment or service plan.
",How does the child/youth's membership in a particular cultural group impact his or her stress and wellbeing?,,1,,No current need; no need for action or intervention.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
5,STRENGTHS DOMAIN,STR,"This domain describes the assets of the child/youth that can be used to advance healthy development. It is important to remember that strengths are NOT the opposite of needs. Increasing a child/youth's strengths while also addressing their behavioral/emotional needs leads to better functioning, and better outcomes, than does focusing just on the child/youth's needs. Identifying areas where strengths can be built is a significant element of service planning. In these items the 'best' assets and resources available to the child/youth are rated based on how accessible and useful those strengths are. These are the only items that use the Strength Rating Scale with action levels.",What child/youth strengths can be used to support a need?,,1,,Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan.,Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment.,Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan.,An area in which no current strength is identified; efforts are needed to identify potential strengths.,,,Strength
6,CAREGIVER RESOURCES AND NEEDS DOMAIN,CGV,"This section focuses on the strengths and needs of the caregiver. Caregiver ratings should be completed by household. If multiple households are involved in the planning, then this section should be completed once for each household under consideration. If the child or youth is in a foster care or out-of-home placement, please rate the identified parent(s), other relative(s), adoptive parent(s), or caretaker(s) who is planning to assume custody and/or take responsibility for the care of this child/youth.",What are the resources and needs of the child/youth's caregiver(s)? How are these needs impacting the caregiver's ability to provide care to the child/youth?,1,1,1,No current need; no need for action or intervention. This may be a strength of the caregiver.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building.",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
7,POTENTIALLY TRAUMATIC / ADVERSE CHILDHOOD EXPERIENCES,TRM,"All of the potentially traumatic/adverse childhood experiences items are static indicators. In other words, these items indicate whether or not a child/youth has experienced a particular trauma. If the child/youth has ever had one of these experiences it would always be rated in this section, even if the experience was not currently causing problems or distress in the child/youth's life. Thus, these items are not expected to change except in the case that the child/youth has a new trauma experience or a historical trauma is identified that was not previously known.",Has the child/youth experienced adverse life events that may impact his/her behavior? ,1,1,,,,,,No evidence of any trauma of this type.,"Child/youth has had experience or there is suspicion that the child/youth has experienced this type of trauma-one incident, multiple incidents, or chronic, on-going experiences.",YN
8,CHALLENGES ,ECH,This section focuses on identifying the child's social/emotional or behavioral challenges.,,1,,,No current need; no need for action or intervention.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities.",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
9,FUNCTIONING,EFX,"This section focuses primarily on the various developmental domains and functioning of the child in a variety of settings including the home, school and community. For items in this section, it may be helpful to ask the general question, ""Do you have any concerns in this area?""",,1,,,No current need; no need for action or intervention.,"Identified need requires monitoring, watchful waiting, or preventive activities.",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
10,RISK BEHAVIORS & FACTORS,ERB,Risk behaviors are actions that can get children in trouble or put them in danger of harming themselves or others. This section also includes factors that may place the child's development at risk.,,1,,,No current need; no need for action or intervention.,"History or suspicion of problems; requires monitoring, watchful waiting, or preventive activities.",Problem is interfering with functioning; requires action or intervention to ensure that the need is addressed.,Problems are dangerous or disabling; requires immediate and/or intensive action.,,,Need
