Item_ID,CANS_6_21_ID,CANS_0_5_ID,Item_Name ,Item_Abbr,Description,Rate_0,Rate_1,Rate_2,Rate_3,Rate_No,Rate_Yes,Rate_NA,Confidential_by_Default,Questions,Supplemental,0-5,6-21,Need,Strength,Background_Needs,Outcome_Malleable,Danger_Self,Danger_Others
1,1,,Psychosis (Thought Disorder),PSYCHOSIS,"This item rates the symptoms of psychiatric disorders with a known neurological base, including schizophrenia spectrum and other psychotic disorders. The common symptoms of these disorders include hallucinations (i.e. experiencing things others do not experience), delusions (i.e. a false belief or an incorrect inference about reality that is firmly sustained despite the fact that nearly everybody thinks the belief is false or proof exists of its inaccuracy), disorganized thinking, and bizarre/idiosyncratic behavior.",No current need; no need for action or intervention. No evidence of psychotic symptoms. Both thought processes and content are within normal range.,"Identified need requires monitoring, watchful waiting, or preventive activities. Evidence of disruption in thought processes or content. Child/youth may be somewhat tangential in speech or evidence somewhat illogical thinking (age-inappropriate). This also includes child/youth with a history of hallucinations but none currently. Use this category for child/youth who are below the threshold for one of the DSM diagnoses listed above. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Evidence of disturbance in thought process or content that may be impairing the child/youth's functioning in at least one life domain. Child/youth may be somewhat delusional or have brief intermittent hallucinations. Speech may be at times quite tangential or illogical. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of dangerous hallucinations, delusions, or bizarre behavior that might be associated with some form of psychotic disorder that places the child/youth or others at risk of physical harm. ",,,,,"• Does the child/youth exhibit behaviors that are unusual or difficult to understand?
• Does the child/youth experience hallucinations or delusions, bizarre behavior?
• Are the unusual behaviors, hallucinations or delusions interfering with the youth's functioning?
",,,1,1,,,1,,
2,2,EC01,Impulsivity/Hyperactivity ,IMPULSIVITY_HYPERACTIVITY,"Problems with impulse control and impulsive behaviors, including motoric disruptions, are rated here. This includes behavioral symptoms associated with Attention-Deficit Hyperactivity Disorder (ADHD), Impulse-Control Disorders and mania as indicated in the DSM-5. Children/youth with impulse problems tend to engage in behavior without thinking, regardless of the consequences. This can include compulsions to engage in gambling, violent behavior (e.g., road rage), and sexual behavior, fire-starting or stealing. ",No current need; no need for action or intervention. No evidence of symptoms of loss of control of behavior.,"Identified need requires monitoring, watchful waiting, or preventive activities. There is a history or evidence of mild levels of impulsivity evident in action or thought that place the child/youth at risk of future functioning difficulties. The child/youth may exhibit limited impulse control, e.g., child/youth may yell out answers to questions or may have difficulty waiting one's turn. Some motor difficulties may be present as well, such as pushing or shoving others. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Clear evidence of problems with impulsive, distractible, or hyperactive behavior that interferes with the child/youth's functioning in at least one life domain. This indicates a child/youth with impulsive behavior who may represent a significant management problem for adults (e.g., caregivers, teachers, coaches, etc.). A child/youth who often intrudes on others and often exhibits aggressive impulses would be rated here. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of a dangerous level of hyperactivity and/or impulsive behavior that places the child/youth at risk of physical harm. This indicates a child/youth with frequent and significant levels of impulsive behavior that carries considerable safety risk (e.g., running into the street, dangerous driving or bike riding). The child/youth may be impulsive on a nearly continuous basis. The youth endangers self or others without thinking. ",,,,,"• Is the child/youth unable to sit still for any length of time?
• Does the child/youth have trouble paying attention for more than a few minutes?
• Is the child/youth able to control their behavior, talking, etc.?
",,1,1,1,,,1,,
3,3,EC02,Depression,DEPRESSION,"Symptoms included in this item are irritable or depressed mood, social withdrawal, sleep disturbances, weight/eating disturbances, and loss of motivation, interest or pleasure in daily activities. This item can be used to rate symptoms of the depressive disorders as specified in DSM-5.",No current need; no need for action or intervention. No evidence of problems with depression. ,"Identified need requires monitoring, watchful waiting, or preventive activities. History or suspicion of depression or evidence of depression associated with a recent negative life event with minimal impact on life domain functioning. Brief duration of depression, irritability, or impairment of peer, family, or academic functioning that does not lead to pervasive avoidance behavior. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Clear evidence of depression associated with either depressed mood or significant irritability. Depression has interfered significantly in child/youth's ability to function in at least one life domain. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of disabling level of depression that makes it virtually impossible for the child/youth to function in any life domain. This rating is given to a child/youth with a severe level of depression. This would include a child/youth who stays at home or in bed all day due to depression or one whose emotional symptoms prevent any participation in school, friendship groups, or family life. Disabling forms of depressive diagnoses would be rated here. ",,,,,"• Is the child/youth concerned about possible depression or chronic low mood and irritability?
• Has the child/youth withdrawn from normal activities?
• Does the child/youth seem lonely or not interested in others?
",,1,1,1,,,1,,
4,4,EC03,Anxiety,ANXIETY,This item rates symptoms associated with DSM-5 Anxiety Disorders characterized by excessive fear and anxiety and related behavioral disturbances (including avoidance behaviors). Panic attacks can be a prominent type of fear response.,No current need; no need for action or intervention. No evidence of anxiety symptoms. ,"Identified need requires monitoring, watchful waiting, or preventive activities. There is a history, suspicion, or evidence of some anxiety associated with a recent negative life event. This level is used to rate either a phobia or anxiety problem that is not yet causing the individual significant distress or markedly impairing functioning in any important context. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Clear evidence of anxiety associated with either anxious mood or significant fearfulness. Anxiety has interfered in the child/youth's ability to function in at least one life domain. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of debilitating level of anxiety that makes it virtually impossible for the child/youth to function in any life domain. ,,,,,"• Does the child/youth have any problems with anxiety or fearfulness? 
• Is the child/youth avoiding normal activities out of fear?
• Does the child/youth act frightened or afraid?
",,1,1,1,,,1,,
5,5,EC04,Oppositional (Non-compliance with Authority),OPPOSITIONAL,"This item rates the child/youth's relationship with authority figures. Generally oppositional behavior is displayed in response to conditions set by a parent, teacher or other authority figure with responsibility for and control over the child/youth.",No current need; no need for action or intervention. No evidence of oppositional behaviors. ,"Identified need requires monitoring, watchful waiting, or preventive activities. There is a history or evidence of mild level of defiance towards authority figures that has not yet begun to cause functional impairment. Child/youth may occasionally talk back to teacher, parent/caregiver; there may be letters or calls from school. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with youth's functioning. Clear evidence of oppositional and/or defiant behavior towards authority figures that is currently interfering with the child/youth's functioning in at least one life domain. Behavior causes emotional harm to others. Children/youth whose behavior meets the criteria for Oppositional Defiant Disorder in DSM-5 would be rated here. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of a dangerous level of oppositional behavior involving the threat of physical harm to others. This rating indicates that the child/youth has severe problems with compliance with rules or adult instruction or authority. ,,,,,"• Does the child/youth follow their caregivers' rules? 
• Have teachers or other adults reported that the child/youth does not follow rules or directions?
• Does the child/youth argue with adults when they try to get the child/youth to do something?
• Does the child/youth do things that they have been explicitly told not to do?
",,1,1,1,,,1,,
6,6,,Conduct,CONDUCT,This item rates the degree to which a child/youth engages in behavior that is consistent with the presence of a Conduct Disorder.,No current need; no need for action or intervention. No evidence of serious violations of others or laws. ,"Identified need requires monitoring, watchful waiting, or preventive activities. There is a history, suspicion or evidence of some problems associated with antisocial behavior including but not limited to lying, stealing, manipulation of others, acts of sexual aggression, or violence towards people, property or animals. The child/youth may have some difficulties in school and home behavior. Problems are recognizable but not notably deviant for age, sex and community. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with youth's functioning. Clear evidence of antisocial behavior including but not limited to lying, stealing, manipulating others, sexual aggression, violence towards people, property, or animals. A child/youth rated at this level will likely meet criteria for a diagnosis of Conduct Disorder. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Evidence of a severe level of aggressive or antisocial behavior, as described above, that places the child/youth or community at significant risk of physical harm due to these behaviors. This could include frequent episodes of unprovoked, planned aggressive or other antisocial behavior. ",,,,,"• Is the child/youth seen as dishonest? How does the child/youth handle telling the truth/lies? 
• Has the child/youth been part of any criminal behavior? 
• Has the child/youth ever shown violent or threatening behavior towards others?
• Has the child/youth ever tortured animals?
• Does the child/youth disregard or is unconcerned about the feelings of others (lack empathy)?
",,,1,1,,,1,,
7,7,,Substance Use,SUBSTANCE_USE,"This item describes problems related to the use of alcohol and illegal drugs, the misuse of prescription medications, and the inhalation of any chemical or synthetic substance by a child/youth. This rating is consistent with DSM-5 Substance-Related and Addictive Disorders. This item does not apply to the use of tobacco or caffeine.",No current need; no need for action or intervention. Child/youth has no notable substance use difficulties at the present time. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth has substance use problems that occasionally interfere with daily life (e.g., intoxication, loss of money, reduced work/school performance, parental concern). History of substance use problems without evidence of current problems related to use is rated here. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with youth's functioning. Child/youth has a substance use problem that consistently interferes with the ability to function optimally but does not completely preclude functioning in an unstructured setting. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth has a substance use problem that represents complications to functional issues that may result in danger to self, public safety issues, or the need for detoxification of the child/youth. ",,,,1,"• Has the child/youth used alcohol or drugs on more than an experimental basis?
• Do you suspect that the child/youth may have an alcohol or drug use problem?
• Has the child/youth been in a recovery program for the use of alcohol or illegal drugs?
",,,1,1,,,1,1,
8,8,,Anger Control,ANGER_CONTROL,This item captures the child/youth's ability to identify and manage their anger when frustrated.,No current need; no need for action or intervention. No evidence of any anger control problems.,"Identified need requires monitoring, watchful waiting, or preventive activities. History, suspicion of, or evidence of some problems with controlling anger. Child/youth may sometimes become verbally aggressive when frustrated. Peers and family are aware of and may attempt to avoid stimulating angry outbursts. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with youth's functioning. Child/youth's difficulties with controlling anger are impacting functioning in at least one life domain. Child/youth's temper has resulted in significant trouble with peers, family and/or school. Anger may be associated with physical violence. Others are likely quite aware of anger potential. ",Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth's temper or anger control problem is dangerous. Child/youth frequently gets into fights that are often physical. Others likely fear the child/youth. ,,,,,"• How does the child/youth control their emotions? 
• Does the child/youth get upset or frustrated easily?
• Does the child/youth overreact if someone criticizes or rejects them? 
• Does the child youth seem to have dramatic mood swings?
",,,1,1,,,1,,
9,9,EC05,Adjustment to Trauma,ADJUSTMENT_TO_TRAUMA,"This item is used to describe the child/youth who is having difficulties adjusting to a traumatic experience, as defined by the child/youth. This is one item where speculation about why a person is displaying a certain behavior is considered. There should be an inferred link between the trauma and the behavior.","No current need; no need for action or intervention. No evidence that child/youth has experienced a traumatic life event, OR child/youth has adjusted well to traumatic/adverse experiences. ","Identified need requires monitoring, watchful waiting, or preventive activities. Child/youth has experienced a traumatic event and there are some changes in their behavior that are managed or supported by caregivers. These symptoms are expected to ease with the passage of time and therefore no current intervention is warranted. Child/youth may be in the process of recovering from a more extreme reaction to a traumatic experience, which may require a need to watch these symptoms or engage in preventive action. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with youth's functioning. Clear evidence of adjustment problems associated with traumatic life event(s). Symptoms can vary widely and may include sleeping or eating disturbances, regressive behavior, behavior problems or problems with attachment. Adjustment is interfering with child/youth's functioning in at least one life domain. Infants may have developmental regression, and/or eating and sleeping disturbance. Older children may have all of the above as well as behavior symptoms, tantrums, and withdrawn behavior. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of debilitating level of trauma symptoms that makes it virtually impossible for the child/youth to function in any life domain including symptoms such as flashbacks, nightmares, significant anxiety, intrusive thoughts, and/or re-experiencing trauma (consistent with PTSD). ",,,,,"• Has the child/youth experienced a traumatic event? 
• Does the child/youth experience frequent nightmares?
• Is the child/youth troubled by flashbacks?
• What are the child/youth's current coping skills?
",,1,1,1,,,1,,
10,10,EC10,Family Functioning,FAMILY_FUNCTIONING,"This rates the child/youth's relationships with those who are in their family. It is recommended that the description of family should come from the child/youth's perspective (i.e. who the child/youth describes as their family). In the absence of this information, consider biological and adoptive relatives and their significant others with whom the child/youth is still in contact. Foster families should only be considered if they have made a significant commitment to the child/youth. For children/youth involved with child welfare, family refers to the person(s) fulfilling the permanency plan. When rating this item, take into account the relationship the child/youth has with their family as well as the relationship of the family as a whole.","No current need; no need for action or intervention. No evidence of problems in relationships with family members, and/or child/youth is doing well in relationships with family members. ","Identified need requires monitoring, watchful waiting, or preventive activities. History or suspicion of problems. Child/youth might be doing adequately in relationships with family members, although some problems may exist. For example, some family members may have problems in their relationships with child/youth. Arguing may be common but does not result in major problems. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child/youth is having problems with parents, siblings and/or other family members that are impacting the child/youth's functioning. Frequent arguing, difficulty maintaining positive relationships may be observed. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child/youth is having severe problems with parents, siblings, and/or other family members. This would include problems of domestic violence, absence of any positive relationships, etc. ",,,,,"• Is there conflict in the family relationship that requires resolution?
• Is treatment required to restore or develop positive relationship in the family?
",,1,1,1,,,1,,
