Domain_ID,Item_ID,CANS_6_21_ID,CANS_0_5_ID
1,1,1,
1,2,2,
1,3,3,
1,4,4,
1,5,5,
1,6,6,
1,7,7,
1,8,8,
1,9,9,
2,10,10,
2,11,11,
2,12,12,
2,13,13,
2,14,14,
2,15,15,
2,16,16,
2,17,17,
2,18,18,
2,19,19,
2,20,20,
3,21,21,
3,22,22,
3,23,23,
3,24,24,
3,25,25,
3,26,26,
3,27,27,
3,28,28,
4,29,29,
4,30,30,
4,31,31,
5,32,32,
5,33,33,
5,34,34,
5,35,35,
5,36,36,
5,37,37,
5,38,38,
5,39,39,
5,40,40,
8,2,,EC01
8,3,,EC02
8,4,,EC03
8,5,,EC04
8,9,,EC05
8,63,,EC06
8,64,,EC07
8,65,,EC08
8,83,,EC09
9,10,,EC10
9,66,,EC11
9,67,,EC12
9,13,,EC13
9,18,,EC14
10,81,,EC15
10,68,,EC16
10,69,,EC17
10,70,,EC18
10,71,,EC19
10,72,,EC20
10,73,,EC21
11,29,,EC22
11,30,,EC23
11,31,,EC24
12,32,,EC25
12,33,,EC26
12,39,,EC27
12,40,,EC28
12,74,,EC29
12,75,,EC30
12,82,,EC31
13,76,,EC32
13,77,,EC33
6,41,41,EC34
6,42,42,EC35
6,43,43,EC36
6,44,44,EC37
6,45,45,EC38
6,46,46,EC39
6,47,47,EC40
6,48,48,EC41
6,49,49,EC42
6,50,50,EC43
6,78,,EC44
6,79,,EC45
6,80,,EC46
7,51,T01,T01
7,52,T02,T02
7,53,T03,T03
7,54,T04,T04
7,55,T05,T05
7,56,T06,T06
7,57,T07,T07
7,58,T08,T08
7,59,T09,T09
7,60,T10,T10
7,61,T11,T11
7,62,T12,T12
